DateTime,Open,High,Low,Close,Volume,BidVolume,AskVolume
2026-08-20 03:30:00,29502.00,29529.50,29452.75,29475.75,5907,3122,2785
2026-08-20 04:00:00,29477.25,29543.75,29468.00,29530.75,3159,1564,1595
2026-08-20 04:30:00,29527.00,29546.75,29507.50,29528.25,1607,797,810
2026-08-20 05:00:00,29527.25,29564.00,29511.75,29537.75,2704,1394,1310
2026-08-20 05:30:00,29535.75,29567.00,29516.25,29566.00,2335,1183,1152
2026-08-20 06:00:00,29566.00,29582.25,29422.00,29425.00,7321,3921,3400
2026-08-20 06:30:00,29424.50,29453.50,29348.75,29362.00,8777,4685,4092
2026-08-20 07:00:00,29361.25,29375.00,29262.50,29276.50,14539,7602,6937
2026-08-20 07:30:00,29278.00,29351.00,29240.00,29346.00,11771,5780,5991
2026-08-20 08:00:00,29346.75,29373.25,29324.00,29350.75,11430,5718,5712
2026-08-20 08:30:00,29351.00,29470.25,29308.75,29354.00,83296,42075,41221
2026-08-20 09:00:00,29354.00,29414.00,29305.00,29349.75,54760,27308,27452
2026-08-20 09:30:00,29350.75,29433.50,29329.00,29392.75,34104,16911,17193
2026-08-20 10:00:00,29392.50,29457.50,29301.00,29345.00,38577,19144,19433
2026-08-20 10:30:00,29344.00,29350.50,29269.25,29329.75,25364,12614,12750
2026-08-20 11:00:00,29329.75,29356.50,29302.75,29340.75,17762,8601,9161
2026-08-20 11:30:00,29340.25,29389.00,29310.00,29380.00,17852,8230,9622
2026-08-20 12:00:00,29380.00,29382.00,29292.50,29294.50,16492,8187,8305
2026-08-20 12:30:00,29294.25,29325.75,29282.75,29292.75,15407,7461,7946
2026-08-20 13:00:00,29292.50,29293.00,29202.75,29232.75,25840,13379,12461
2026-08-20 13:30:00,29233.00,29259.00,29212.00,29243.75,16803,8549,8254
2026-08-20 14:00:00,29243.75,29307.50,29242.25,29304.50,18809,9429,9380
2026-08-20 14:30:00,29304.25,29335.25,29286.50,29306.25,37784,18594,19190
2026-08-20 15:00:00,29307.00,29320.50,29262.50,29288.25,9658,4770,4888
2026-08-20 15:30:00,29287.75,29319.50,29285.25,29317.25,2775,1257,1518
2026-08-20 17:00:00,29327.00,29345.75,29274.25,29285.75,2821,1431,1390
2026-08-20 17:30:00,29286.50,29325.50,29281.75,29323.00,1966,902,1064
2026-08-20 18:00:00,29321.50,29328.50,29312.50,29315.50,1137,590,547
2026-08-20 18:30:00,29316.50,29323.75,29286.75,29293.00,2745,1408,1337
2026-08-20 19:00:00,29292.50,29365.50,29289.75,29325.50,4829,2327,2502
2026-08-20 19:30:00,29326.75,29362.00,29311.75,29320.50,2963,1408,1555
2026-08-20 20:00:00,29320.50,29357.00,29291.75,29341.50,3948,1954,1994
2026-08-20 20:30:00,29340.50,29372.50,29320.25,29354.25,2883,1352,1531
2026-08-20 21:00:00,29353.75,29395.00,29343.25,29390.00,2373,1053,1320
2026-08-20 21:30:00,29390.00,29399.25,29376.00,29384.00,1999,967,1032
2026-08-20 22:00:00,29384.00,29388.25,29349.00,29363.00,2114,1138,976
2026-08-20 22:30:00,29364.75,29376.75,29342.75,29352.25,1812,928,884
2026-08-20 23:00:00,29353.75,29371.75,29330.50,29330.50,2001,1086,915
2026-08-20 23:30:00,29330.00,29364.50,29321.25,29356.25,1719,836,883
2026-08-21 00:00:00,29358.25,29380.75,29351.50,29353.25,1437,655,782
2026-08-21 00:30:00,29352.25,29377.50,29340.25,29366.25,1624,809,815
2026-08-21 01:00:00,29365.50,29381.00,29354.50,29376.25,1719,868,851
2026-08-21 01:30:00,29375.50,29401.50,29365.50,29386.50,2416,1224,1192
2026-08-21 02:00:00,29386.00,29458.75,29380.50,29427.50,4460,2061,2399
2026-08-21 02:30:00,29426.00,29453.50,29420.50,29446.00,3164,1653,1511
2026-08-21 03:00:00,29447.25,29464.25,29390.50,29421.50,4593,2450,2143
2026-08-21 03:30:00,29421.25,29467.50,29418.00,29453.00,3675,1791,1884
2026-08-21 04:00:00,29454.00,29455.00,29411.50,29435.50,3283,1736,1547
2026-08-21 04:30:00,29435.50,29495.00,29429.75,29485.00,4621,2396,2225
2026-08-21 05:00:00,29485.75,29518.50,29470.25,29490.00,4184,2220,1964
2026-08-21 05:30:00,29489.50,29495.00,29471.25,29479.50,1846,901,945
2026-08-21 06:00:00,29480.00,29525.00,29452.75,29519.25,5171,2457,2714
2026-08-21 06:30:00,29518.50,29539.00,29498.50,29500.00,5300,2633,2667
2026-08-21 07:00:00,29499.50,29516.75,29477.75,29516.25,4534,2164,2370
2026-08-21 07:30:00,29515.50,29539.00,29503.50,29511.50,5689,2816,2873
2026-08-21 08:00:00,29511.75,29516.00,29418.00,29468.75,14298,7268,7030
2026-08-21 08:30:00,29469.50,29476.00,29255.75,29303.50,72441,37370,35071
2026-08-21 09:00:00,29303.25,29335.50,29220.00,29278.75,54251,27254,26997
2026-08-21 09:30:00,29280.25,29333.75,29258.00,29331.75,35167,17286,17881
2026-08-21 10:00:00,29332.00,29368.75,29326.75,29356.75,25336,12895,12441
