Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-7, 08:30:00.000000, 29593.00, 29685.75, 29569.25, 29670.75, 5250, 4886, 29629.69, 29641.92, 29627.50, 2391, 2859, 0.00, 0.00
2026-7-7, 08:30:32.645000, 29672.75, 29677.50, 29604.50, 29653.50, 5250, 4984, 29652.06, 29645.17, 29641.00, 2721, 2529, 0.00, 29682.50
2026-7-7, 08:32:25.727002, 29653.50, 29655.00, 29554.25, 29555.50, 5250, 3942, 29604.56, 29588.25, 29604.63, 3461, 1789, 0.00, 29660.00
2026-7-7, 08:33:48.102000, 29555.75, 29572.00, 29515.25, 29534.75, 5250, 3831, 29544.44, 29540.67, 29543.63, 3286, 1964, 0.00, 29577.00
2026-7-7, 08:34:50.349000, 29535.25, 29557.75, 29503.75, 29557.25, 5250, 4903, 29538.50, 29539.58, 29530.75, 2628, 2622, 0.00, 29562.75
2026-7-7, 08:37:01.951001, 29557.75, 29577.50, 29491.25, 29509.75, 5250, 4841, 29534.06, 29526.17, 29534.38, 2915, 2335, 0.00, 29582.50
2026-7-7, 08:39:07.875000, 29509.50, 29590.75, 29494.75, 29580.00, 5250, 4977, 29543.75, 29555.17, 29542.75, 2383, 2867, 0.00, 29595.75
2026-7-7, 08:41:09.802000, 29579.00, 29602.75, 29538.00, 29589.75, 5250, 4415, 29577.38, 29576.83, 29570.38, 2310, 2940, 0.00, 29607.75
2026-7-7, 08:43:39.781000, 29588.25, 29607.00, 29553.00, 29566.50, 5250, 4762, 29578.69, 29575.50, 29580.00, 2727, 2523, 0.00, 29612.00
2026-7-7, 08:45:59.950000, 29566.50, 29578.50, 29516.00, 29560.00, 5250, 4620, 29555.25, 29551.50, 29547.25, 2772, 2478, 0.00, 29583.50
2026-7-7, 08:48:13.177005, 29560.00, 29576.50, 29502.50, 29502.50, 5250, 4788, 29535.38, 29527.17, 29539.50, 2646, 2604, 0.00, 29581.50
2026-7-7, 08:51:11.049001, 29502.50, 29538.25, 29468.00, 29471.00, 5250, 4711, 29494.94, 29492.42, 29503.13, 2944, 2306, 0.00, 0.00
2026-7-7, 08:53:16.157000, 29472.00, 29477.25, 29428.00, 29430.25, 5250, 4718, 29451.88, 29445.17, 29452.63, 2726, 2524, 0.00, 0.00
