Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression, Buy Aggression, Sell Aggression, Buy Aggression, Sell Aggression, Buy Aggression, Sell Aggression, Buy Aggression, Sell Aggression
2026-8-6, 08:30:00.000000, 29335.00, 29373.75, 29241.25, 29340.00, 19490, 17939, 29322.50, 29318.33, 29307.50, 9936, 9554, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 08:35:00.000000, 29341.25, 29448.50, 29323.25, 29385.50, 17001, 15361, 29374.63, 29385.75, 29385.88, 7999, 9002, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 08:40:00.000000, 29386.00, 29474.25, 29376.00, 29458.75, 12570, 11840, 29423.75, 29436.33, 29425.13, 5860, 6710, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 08:45:00.000000, 29458.00, 29534.50, 29447.50, 29525.75, 11636, 10968, 29491.44, 29502.58, 29491.00, 5505, 6131, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 08:50:00.000000, 29526.75, 29551.00, 29491.00, 29500.25, 9559, 9115, 29517.25, 29514.08, 29521.00, 4907, 4652, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 08:55:00.000000, 29501.50, 29538.75, 29486.50, 29528.25, 9731, 9201, 29513.75, 29517.83, 29512.63, 4750, 4981, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 09:00:00.000000, 29528.75, 29558.50, 29488.00, 29517.75, 10214, 9774, 29523.25, 29521.42, 29523.25, 5131, 5083, 0.00, 0.00, 29483.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 09:05:00.000000, 29518.25, 29584.25, 29506.25, 29579.25, 8365, 7822, 29547.00, 29556.58, 29545.25, 3953, 4412, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-8-6, 09:10:00.000000, 29580.00, 29619.00, 29578.25, 29608.50, 7721, 7310, 29596.44, 29601.92, 29598.63, 3753, 3968, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29625.25
2026-8-6, 09:15:00.000000, 29608.75, 29652.50, 29586.75, 29640.75, 8205, 7597, 29622.19, 29626.67, 29619.63, 4057, 4148, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
