date,time_cst,setting,side,print_price,bar_open,bar_high,bar_low,bar_close,bar_volume
2026-08-06,09:00,7250v30,buy,29483,29528.75,29558.5,29488,29517.75,10214
2026-08-06,09:10,4500v60,sell,29625.25,29580,29619,29578.25,29608.5,7721
2026-08-06,09:45,5250v60,buy,29543.5,29582.5,29585.5,29533.75,29558.25,6477
2026-08-06,09:45,4500v60,buy,29543.5,29582.5,29585.5,29533.75,29558.25,6477
2026-08-06,10:35,6750v30,buy,29525.75,29553.25,29580.5,29540.25,29565.25,5257
2026-08-06,10:55,6750v30,buy,29481,29525.75,29556,29506,29516.25,6610
2026-08-06,11:10,7250v30,sell,29525.25,29524.75,29542,29483.5,29488.25,4121
2026-08-06,11:35,5250v60,sell,29532.25,29480,29523,29467.25,29522.25,3459
2026-08-06,11:40,4500v60,sell,29529.25,29523,29527.25,29476.5,29478.25,3747
2026-08-06,13:55,7250v60,buy,29680,29513,29530.25,29508.25,29515.5,2142
2026-08-07,08:30,7250v60,sell,29818.25,29714.75,29813.25,29681,29804.75,18754
2026-08-07,08:30,5250v60,sell,29818.25,29714.75,29813.25,29681,29804.75,18754
2026-08-07,08:30,4500v60,sell,29814.25,29714.75,29813.25,29681,29804.75,18754
2026-08-07,09:25,5250v60,sell,29784.5,29703,29779.5,29701.25,29761.25,7096
2026-08-07,09:35,5250v60,buy,29664.5,29731,29743.75,29669.5,29677.5,9237
2026-08-07,10:50,5250v60,sell,29829.75,29829.75,29843.25,29796.5,29815.5,4047
2026-08-07,10:50,4500v60,sell,29842.25,29829.75,29843.25,29796.5,29815.5,4047
2026-08-10,10:15,5250v60,sell,29822.25,29793.25,29817.25,29790,29799.75,3708
2026-08-10,11:00,7250v60,sell,29855,29844.5,29858.75,29841.25,29848,2447
2026-08-10,12:10,6750v30,sell,29816.25,29800.75,29809,29793,29800.75,2250
2026-08-10,12:10,5250v60,sell,29816.25,29800.75,29809,29793,29800.75,2250
2026-08-10,12:15,4500v60,sell,29816.25,29800.75,29811.25,29789.5,29796,1869
2026-08-11,08:45,4500v60,buy,29645.75,29723.75,29725,29631.75,29660.75,13420
2026-08-11,09:50,5250v60,sell,29809.75,29780,29804.75,29765.25,29794.5,5612
2026-08-11,09:55,4500v60,sell,29802.25,29793.75,29804,29772.5,29777,3489
2026-08-11,10:00,7250v60,sell,29797.25,29776.5,29792.25,29771.5,29776.75,3874
2026-08-11,10:30,7250v30,sell,29705.25,29703,29719.5,29666.25,29674.25,5198
2026-08-12,08:35,7250v60,sell,29905.25,29878.5,29946.25,29867.25,29889.25,12482
2026-08-12,08:35,6750v30,sell,29929,29878.5,29946.25,29867.25,29889.25,12482
2026-08-12,08:35,5250v60,sell,29936.25,29878.5,29946.25,29867.25,29889.25,12482
2026-08-12,09:00,6750v30,buy,29842.75,29907,29913.75,29856.5,29857.25,7814
2026-08-12,09:30,6750v30,buy,29857,29916,29924.75,29828.25,29878.25,9162
2026-08-12,09:35,6750v30,buy,29889.25,29878.25,29929,29862,29921.25,5397
2026-08-12,13:55,7250v30,sell,29925,29908.75,29909.25,29885,29889.75,2786
2026-08-13,08:35,7250v60,sell,30051.75,29945.25,30039.75,29940,30038.25,13264
2026-08-13,08:35,7250v30,sell,30051.75,29945.25,30039.75,29940,30038.25,13264
2026-08-13,08:35,6750v30,sell,30058.5,29945.25,30039.75,29940,30038.25,13264
2026-08-13,09:30,4500v60,sell,30272.5,30233.25,30266.25,30227.5,30262.75,7623
2026-08-13,09:35,5250v60,sell,30269,30263,30267.5,30240.25,30251.75,5388
2026-08-13,09:35,4500v60,sell,30268.75,30263,30267.5,30240.25,30251.75,5388
2026-08-13,09:50,7250v60,buy,30194.5,30218.75,30228.5,30208,30226.75,5234
2026-08-13,09:50,7250v30,buy,30194.5,30218.75,30228.5,30208,30226.75,5234
2026-08-13,10:35,6750v30,buy,30123.25,30146.25,30165.5,30128.25,30151.75,6954
2026-08-14,09:30,4500v60,buy,30125,30159.75,30163.25,30129,30138.75,7887
2026-08-14,10:25,5250v60,buy,30028.5,30047.5,30074.5,30033.5,30073.25,6661
2026-08-14,11:25,5250v60,sell,30108.75,30093.25,30107.75,30091.5,30101,2634
2026-08-17,08:50,5250v60,sell,30256.25,30226.75,30254.25,30210.75,30249,7062
2026-08-17,12:45,4500v60,sell,30126.5,30123,30127.25,30108.5,30111.25,2162
2026-08-18,09:40,4500v60,buy,29595.75,29666,29673,29612.5,29614,6176
2026-08-18,09:50,5250v60,buy,29544.25,29604.75,29620,29557,29558.5,10329
2026-08-18,09:50,4500v60,buy,29550,29604.75,29620,29557,29558.5,10329
2026-08-18,10:25,5250v60,sell,29615,29568.25,29600,29564.75,29591.25,5897
2026-08-18,10:30,6750v30,buy,29562,29591,29610,29582,29591.5,5787
2026-08-18,10:30,5250v60,buy,29561.5,29591,29610,29582,29591.5,5787
2026-08-18,11:00,5250v60,sell,29656.75,29637,29653.75,29632,29639.75,4935
2026-08-18,11:30,7250v30,buy,29608.25,29609.75,29628.75,29603.25,29624.25,3815
2026-08-19,08:40,7250v30,buy,29560.5,29589.5,29628.75,29560.5,29609.75,15427
2026-08-19,08:45,5250v60,buy,29450.25,29609.25,29635.5,29458.25,29470.5,17075
2026-08-19,10:00,7250v30,sell,29634.75,29623,29629.75,29593,29596.25,6181
2026-08-19,10:00,6750v30,sell,29634.75,29623,29629.75,29593,29596.25,6181
2026-08-19,12:55,6750v30,sell,29597.5,29551.5,29553.75,29537.75,29544.25,1390
2026-08-20,08:50,7250v30,buy,29303.75,29383.75,29391.75,29308.75,29368.75,13510
2026-08-20,08:50,6750v30,buy,29322.5,29383.75,29391.75,29308.75,29368.75,13510
2026-08-20,09:00,6750v30,sell,29387.75,29354,29395,29319.25,29328,10201
2026-08-20,09:45,5250v60,sell,29438.5,29421.5,29433.5,29372.5,29376.25,5530
2026-08-20,10:00,5250v60,sell,29454.5,29392.5,29457.5,29388.5,29430.25,9297
2026-08-20,11:45,4500v60,sell,29385.25,29377,29389,29364.75,29369,3542
2026-08-20,12:45,7250v60,sell,29330.75,29290,29313.25,29287.25,29305.25,3094
2026-08-20,12:50,5250v60,sell,29330.75,29305,29325.75,29299.75,29301.5,2849
2026-08-20,13:05,7250v30,buy,29210,29260.5,29265.75,29228,29234.5,5729
2026-08-20,13:35,4500v60,sell,29238.5,29216.75,29232,29213,29222.5,2778
2026-08-21,09:10,4500v60,buy,29239,29313,29328.5,29246.25,29253,9290
2026-08-21,10:00,7250v60,sell,29373.75,29332,29366.25,29326.75,29359.75,7651
2026-08-21,10:00,6750v30,sell,29373.75,29332,29366.25,29326.75,29359.75,7651
2026-08-21,10:00,5250v60,sell,29372,29332,29366.25,29326.75,29359.75,7651
2026-08-21,10:00,4500v60,sell,29371.25,29332,29366.25,29326.75,29359.75,7651
2026-08-21,10:35,4500v60,sell,29449.5,29403.25,29444.5,29399.5,29442.75,6597
2026-08-21,10:50,5250v60,sell,29493.75,29431.25,29488.75,29431.25,29472.5,7298
2026-08-21,11:20,6750v30,sell,29423.25,29398.5,29452.75,29388.75,29405,7066
2026-08-21,11:25,7250v30,sell,29430.5,29404,29414,29397,29409.5,2394
2026-08-24,08:40,4500v60,buy,28959,29079.5,29091.25,28975.5,28978.75,15222
2026-08-24,09:00,4500v60,buy,28957.75,29022.25,29036.75,28962.75,28975,10875
2026-08-24,09:40,7250v60,sell,29115.75,29081.75,29110.75,29071,29085.5,6349
2026-08-24,10:35,5250v60,sell,29185.25,29134.5,29164,29127.75,29158,5256
2026-08-24,10:45,6750v30,sell,29208.5,29176.25,29205.5,29176,29186.25,5729
2026-08-24,11:55,4500v60,sell,29179.75,29181.5,29183.25,29170.5,29171,1962
2026-08-24,12:05,5250v60,sell,29215.5,29159,29198.25,29157.25,29190.75,3655
2026-08-24,12:10,4500v60,sell,29213.5,29191.25,29210.5,29182.5,29194.25,3864
2026-08-24,13:20,7250v60,sell,29238.25,29176.25,29221.25,29174.5,29217,4638
2026-08-25,09:20,7250v30,buy,29204.25,29242.75,29255.25,29209.25,29229.25,8133
2026-08-25,09:30,6750v30,sell,29254.5,29214.75,29249.5,29138,29206.75,13422
2026-08-25,09:35,7250v30,sell,29270,29207,29268.75,29205,29258.75,6603
2026-08-25,10:00,7250v30,sell,29232.25,29233,29235.75,29197.5,29204.75,4865
2026-08-25,10:00,6750v30,sell,29231.5,29233,29235.75,29197.5,29204.75,4865
2026-08-25,10:35,7250v30,sell,29306.75,29267.5,29301.75,29265,29271.5,4686
2026-08-25,13:45,4500v60,sell,29280,29257.75,29275,29257.75,29269.75,3700
2026-08-25,13:50,5250v60,sell,29275.75,29269.75,29270.75,29257.5,29259.75,2573
2026-08-26,09:35,4500v60,sell,29243.5,29196.25,29231.75,29183.25,29214,5002
2026-08-26,09:50,7250v60,sell,29273,29238,29268,29238,29241.25,4398
2026-08-26,10:45,5250v60,sell,29296.5,29282.25,29291,29274.75,29288.75,2454
2026-08-26,10:45,4500v60,sell,29296.5,29282.25,29291,29274.75,29288.75,2454
2026-08-26,12:10,7250v60,sell,29275.75,29234,29242.25,29230.25,29238,2035
2026-08-27,08:55,7250v30,buy,29440.75,29542.25,29544.75,29423.75,29483,13787
2026-08-27,09:30,4500v60,sell,29610,29606.5,29610.25,29563.5,29573.25,7466
2026-08-27,12:15,7250v30,sell,29683.5,29670.5,29673.75,29659.5,29664.75,2050
2026-08-27,13:40,7250v60,sell,29587.25,29579.25,29581.25,29567,29572.5,2565
2026-08-28,08:30,7250v60,buy,29571.25,29628.5,29637,29562.75,29605.75,17597
2026-08-28,08:30,7250v30,buy,29571.25,29628.5,29637,29562.75,29605.75,17597
2026-08-28,08:30,6750v30,buy,29557.75,29628.5,29637,29562.75,29605.75,17597
2026-08-28,08:30,4500v60,buy,29557.75,29628.5,29637,29562.75,29605.75,17597
2026-08-28,09:40,7250v60,sell,29760,29681,29744,29674.5,29734.25,8740
2026-08-28,10:30,4500v60,sell,29790.5,29783.25,29785.5,29762.25,29763.25,3449
2026-08-28,10:50,6750v30,buy,29580.5,29633.75,29647,29585.5,29618.25,10100
2026-08-28,11:05,7250v60,sell,29598,29531.75,29593,29528.75,29587,7147
